OpenAlias network,OpenAlias asset,Asset Common Name,CAIP-2 Prefix,CAIP-19 Suffix,CAIP-19,Decimals
ada,ada,Cardano,,slip44:1815,/slip44:1815,6
aleo,aleo,Aleo Network,aleo:0,slip44:683,aleo:0/slip44:683,
algo,algo,Algorand,algorand:wGHE2Pwdvd7S12BL5FaOP20EGYesN73k,slip44:283,algorand:wGHE2Pwdvd7S12BL5FaOP20EGYesN73k/slip44:283,6
aptos,aptos,Aptos,,slip44:637,/slip44:637,
arb,arb1,Arbitrum,eip155:42161,slip44:9001,eip155:42161/slip44:9001,18
ark,ark,ARK,,slip44:111,/slip44:111,
avaxc,avax,Avalanche,avax:8aDU0Kqh-5d23op-B-r-4YbQFRbsgF9a,slip44:9005,avax:8aDU0Kqh-5d23op-B-r-4YbQFRbsgF9a/slip44:9005,18
avaxp,avax,Avalanche,avax:Rr9hnPVPxuUvrdCul-vjEsU1zmqKqRDo,,avax:Rr9hnPVPxuUvrdCul-vjEsU1zmqKqRDo/,9
avaxx,avax,Avalanche,avax:imji8papUf2EhV3le337w1vgFauqkJg-,,avax:imji8papUf2EhV3le337w1vgFauqkJg-/,9
poly,avax,Avalanche,eip155:137,erc20:0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b,eip155:137/erc20:0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b,
ban,ban,Banano,,slip44:198,/slip44:198,
bch,bch,Bitcoin Cash,bip122:000000000000000000651ef99cb9fcbe,slip44:145,bip122:000000000000000000651ef99cb9fcbe/slip44:145,8
poly,bnb,BNB,eip155:137,erc20:0x3BA4c387f786bFEE076A58914F5Bd38d668B42c3,eip155:137/erc20:0x3BA4c387f786bFEE076A58914F5Bd38d668B42c3,18
eth,bnb,BNB,eip155:1,erc20:0xB8c77482e45F1F44dE1745F52C74426C631bDD52,eip155:1/erc20:0xB8c77482e45F1F44dE1745F52C74426C631bDD52,18
bsc,bnb,BNB,eip155:56,slip44:714,eip155:56/slip44:714,18
bsc,bsc,Binance Smart Chain,eip155:56,slip44:9006,eip155:56/slip44:9006,18
bsq,bsq,bisq Token,,slip44:142,/slip44:142,
bsv,bsv,BitcoinSV,,slip44:236,/slip44:236,8
btc,btc,Bitcoin,bip122:000000000019d6689c085ae165831e93,slip44:0,bip122:000000000019d6689c085ae165831e93/slip44:0,8
trx,btt,BitTorrent,,trc20:TAFjULxiVgT4qWk6UZwjqwZXTSaGaqnVp4,/trc20:TAFjULxiVgT4qWk6UZwjqwZXTSaGaqnVp4,
poly,busd,Binance USD,eip155:137,erc20:0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7,eip155:137/erc20:0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7,18
ccd,ccd,Concordium,ccd:9dd9ca4d19e9393877d2c44b70f89acb,slip44:919,ccd:9dd9ca4d19e9393877d2c44b70f89acb/slip44:919,
celo,celo,Celo,eip155:42220,slip44:52752,eip155:42220/slip44:52752,18
eth,dai,Dai Stablecoin,eip155:1,erc20:0x6b175474e89094c44da98b954eedeac495271d0f,eip155:1/erc20:0x6b175474e89094c44da98b954eedeac495271d0f,18
poly,dai,Dai Stablecoin,eip155:137,erc20:0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,eip155:137/erc20:0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,18
dash,dash,Dash,bip122:00000ffd590b1485b3caadc19b22e637,slip44:5,bip122:00000ffd590b1485b3caadc19b22e637/slip44:5,8
dcr,dcr,Decred,,slip44:42,/slip44:42,8
doge,doge,Dogecoin,bip122:1a91e3dace36e2be3bf030a65679fe82,slip44:3,bip122:1a91e3dace36e2be3bf030a65679fe82/slip44:3,8
polka,dot,Polkadot,polkadot:91b171bb158e2d3848fa23a9f1c25182,slip44:354,polkadot:91b171bb158e2d3848fa23a9f1c25182/slip44:354,10
eos,eos,EOS,antelope:aca376f206b8fc25a6ed44dbdc66547c,slip44:194,antelope:aca376f206b8fc25a6ed44dbdc66547c/slip44:194,4
etc,etc,Ethereum Classic,eip155:61,slip44:61,eip155:61/slip44:61,18
eth,eth,Ether,eip155:1,slip44:60,eip155:1/slip44:60,18
fil,fil,Filecoin,fil:f,slip44:461,fil:f/slip44:461,18
fio,fio,FIO,antelope:21dcae42c0182200e93f954a074011f9,slip44:235,antelope:21dcae42c0182200e93f954a074011f9/slip44:235,
firo,firo,Firo (Zcoin),,slip44:136,/slip44:136,
flow,flow,Flow,eip155:747,slip44:539,eip155:747/slip44:539,
