OpenAlias asset_network,Asset Common Name,CAIP-2 Prefix
ada,Cardano,
aleo,Aleo Network,aleo:0
algo,Algorand,algorand:wGHE2Pwdvd7S12BL5FaOP20EGYesN73k
aptos,Aptos,
arb,Arbitrum One,eip155:42161
arbn,Arbitrum Nova,eip155:42170
ark,ARK,
arweave,Arweave,arweave:7wIU
avaxc,Avalanche C-Chain,avax:8aDU0Kqh-5d23op-B-r-4YbQFRbsgF9a
avaxp,Avalanche P-Chain,avax:Rr9hnPVPxuUvrdCul-vjEsU1zmqKqRDo
avaxx,Avalanche X-Chain,avax:imji8papUf2EhV3le337w1vgFauqkJg-
ban,Banano,
base,Base,eip155:8453
bch,Bitcoin Cash,bip122:000000000000000000651ef99cb9fcbe
bsc,BNB Smart Chain,eip155:56
bsq,bisq Token,
bsv,BitcoinSV,bip122:
btc,Bitcoin,bip122:000000000019d6689c085ae165831e93
casper,Casper,casper:casper
ccd,Concordium,ccd:9dd9ca4d19e9393877d2c44b70f89acb
celo,Celo,eip155:42220
chia,Chia,chia:ccd5bb71183532bff220ba46c268991a
dash,Dash,bip122:00000ffd590b1485b3caadc19b22e637
dcr,Decred,
doge,Dogecoin,bip122:1a91e3dace36e2be3bf030a65679fe82
eos,EOS,antelope:aca376f206b8fc25a6ed44dbdc66547c
ergo,Ergo,ergo:b0244dfc267baca974a4caee06120321
etc,Ether Classic,eip155:61
eth,Ethereum,eip155:1
feather,Feathercoin,bip122:fdbe99b90c90bae7505796461471d89a
fil,Filecoin,fil:f
fio,FIO,antelope:21dcae42c0182200e93f954a074011f9
firo,Firo (Zcoin),
flow,Flow,eip155:747
grc,Gridcoin,
grin,Grin,
hbc,HuobiChain,
hedera,Hedera,hedera:mainnet
icp,Internet Computer (DFINITY),
instar,INSTAR,antelope:b042025541e25a472bffde2d62edd457
iota,IOTA,
iron,Iron Fish,
kmd,Komodo,
koinos,Koinos,koinos:EiBZK_GGVP0H_fXVAM3j6EAuz3-B-l3e
libre,Libre,antelope:38b1d7815474d0c60683ecbea321d723
lisk,Lisk,lip9:9ee11e9df416b18b
loop,Loopring,
lsk,Lisk,
ltc,Litecoin,bip122:12a765e31ffd4059bada1e25190f6e98
mina,Mina,mina:mainnet
mvx,MultiversX,mvx:1
near,NEAR Protocol,
nmc,Namecoin,
omni,Omni,
op,OP Mainnet (Optimism),eip155:10
ore,ORE,antelope:7900eaca71d5b213d3e1e15d54d98ad2
part,Particl,
pivx,Pivx,
polka,Polkadot,
poly,Polygon (MATIC),eip155:137
proton,Proton,antelope:384da888112027f0321850a169f737c3
reef,Reef,reef:7834781d38e4798d548e34ec947d19de
rune,Thorchain,
rvn,Ravencoin,
sc,Sia,
scrt,Secret Network,
sol,Solana,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp
stacks,Stacks,stacks:1
starknet,Starknet,starknet:SN_MAIN
steem,Steem,
strk,StarkNet,
telos,Telos,antelope:4667b205c6838ef70ff7988f6e8257e8
tezos,Tezos,tezos:NetXdQprcVkpaWU
ton,Telegram Open Network,
trx,Tron,
ultra,Ultra,antelope:a9c481dfbc7d9506dc7e87e9a137c931
um,Penumbra,
ux,UX,antelope:8fc6dce7942189f842170de953932b1f
vet,Vechain,vechain:b1ac3413d346d43539627e6be7ec1b4a
waves,Waves,waves:087
wax,WAX,antelope:1064487b3cd1a897ce03ae5b6a865651
wow,Wownero,monero:a3fd635dd5cb55700317783469ba749b
xdai,Gnosis,eip155:100
xem,NEM,
xhv,Haven Protocol,monero:4b49042122496cc7e94d392b29bd12eb
xlm,Stellar,stellar:pubnet
xmr,Monero,monero:418015bb9ae982a1975da7d79277c270
xno,Nano,
xrp,Ripple,xrpl:0
xvg,Verge Currency,
zec,Zcash,bip122:00040fe8ec8471911baa1db1266ea15d
zen,Zencash,
zksync,Zksync,eip155:324
