OpenAlias asset_type,Asset Common Name,CAIP-19 suffix,,
btc,Bitcoin,/slip44:0,,
ltc,Litecoin,/slip44:2,,
doge,Dogecoin,/slip44:3,,
rdd,Reddcoin,/slip44:4,,
dash,Dash,/slip44:5,,
ppc,Peercoin,/slip44:6,,
nmc,Namecoin,/slip44:7,,
ftc,Feathercoin,/slip44:8,,
xcp,Counterparty,/slip44:9,,
blk,Blackcoin,/slip44:10,,
nsr,NuShares,/slip44:11,,
nbt,NuBits,/slip44:12,,
mzc,Mazacoin,/slip44:13,,
via,Viacoin,/slip44:14,,
xch,ClearingHouse,/slip44:15,,
rby,Rubycoin,/slip44:16,,
grs,Groestlcoin,/slip44:17,,
dgc,Digitalcoin,/slip44:18,,
ccn,Cannacoin,/slip44:19,,
dgb,DigiByte,/slip44:20,,
mona,Monacoin,/slip44:22,,
clam,Clams,/slip44:23,,
xpm,Primecoin,/slip44:24,,
neos,Neoscoin,/slip44:25,,
jbs,Jumbucks,/slip44:26,,
zrc,ziftrCOIN,/slip44:27,,
vtc,Vertcoin,/slip44:28,,
nxt,NXT,/slip44:29,,
burst,Burst,/slip44:30,,
mue,MonetaryUnit,/slip44:31,,
zoom,Zoom,/slip44:32,,
vash,Virtual Cash,/slip44:33,,
cdn,Canada eCoin,/slip44:34,,
sdc,ShadowCash,/slip44:35,,
pkb,ParkByte,/slip44:36,,
pnd,Pandacoin,/slip44:37,,
start,StartCOIN,/slip44:38,,
moin,MOIN,/slip44:39,,
exp,Expanse,/slip44:40,,
emc2,Einsteinium,/slip44:41,,
dcr,Decred,/slip44:42,,
xem,NEM,/slip44:43,,
part,Particl,/slip44:44,,
arg,Argentum (dead),/slip44:45,,
shr,Shreeji,/slip44:48,,
gcr,Global Currency Reserve (GCRcoin),/slip44:49,,
nvc,Novacoin,/slip44:50,,
ac,Asiacoin,/slip44:51,,
btcd,BitcoinDark,/slip44:52,,
dope,Dopecoin,/slip44:53,,
tpc,Templecoin,/slip44:54,,
aib,AIB,/slip44:55,,
edrc,EDRCoin,/slip44:56,,
sys,Syscoin,/slip44:57,,
slr,Solarcoin,/slip44:58,,
smly,Smileycoin,/slip44:59,,
eth,Ether,/slip44:60,,
etc,Ether Classic,/slip44:61,,
psb,Pesobit,/slip44:62,,
xbc,Bitcoinplus,/slip44:65,,
iop,Internet of People,/slip44:66,,
nxs,Nexus,/slip44:67,,
insn,InsaneCoin,/slip44:68,,
ok,OKCash,/slip44:69,,
brit,BritCoin,/slip44:70,,
cmp,Compcoin,/slip44:71,,
crw,Crown,/slip44:72,,
bela,BelaCoin,/slip44:73,,
icx,ICON,/slip44:74,,
fjc,FujiCoin,/slip44:75,,
mix,MIX,/slip44:76,,
xvg,Verge Currency,/slip44:77,,
efl,Electronic Gulden,/slip44:78,,
club,ClubCoin,/slip44:79,,
richx,RichCoin,/slip44:80,,
pot,Potcoin,/slip44:81,,
qrk,Quarkcoin,/slip44:82,,
trc,Terracoin,/slip44:83,,
grc,Gridcoin,/slip44:84,,
aur,Auroracoin,/slip44:85,,
ixc,IXCoin,/slip44:86,,
nlg,Gulden,/slip44:87,,
bitb,BitBean,/slip44:88,,
bta,Bata,/slip44:89,,
xmy,Myriadcoin,/slip44:90,,
bsd,BitSend,/slip44:91,,
uno,Unobtanium,/slip44:92,,
mtr,MasterTrader,/slip44:93,,
gb,GoldBlocks,/slip44:94,,
shm,Saham,/slip44:95,,
crx,Chronos,/slip44:96,,
biq,Ubiquoin,/slip44:97,,
evo,Evotion,/slip44:98,,
sto,SaveTheOcean,/slip44:99,,
bigup,BigUp,/slip44:100,,
game,GameCredits,/slip44:101,,
dlc,Dollarcoins,/slip44:102,,
zyd,Zayedcoin,/slip44:103,,
dbic,Dubaicoin,/slip44:104,,
strat,Stratis,/slip44:105,,
sh,Shilling,/slip44:106,,
mars,MarsCoin,/slip44:107,,
ubq,Ubiq,/slip44:108,,
ptc,Pesetacoin,/slip44:109,,
nro,Neurocoin,/slip44:110,,
ark,ARK,/slip44:111,,
usc,UltimateSecureCashMain,/slip44:112,,
thc,Hempcoin,/slip44:113,,
linx,Linx,/slip44:114,,
ecn,Ecoin,/slip44:115,,
dnr,Denarius,/slip44:116,,
pink,Pinkcoin,/slip44:117,,
atom,Atom,/slip44:118,,
pivx,Pivx,/slip44:119,,
flash,Flashcoin,/slip44:120,,
zen,Zencash,/slip44:121,,
put,Putincoin,/slip44:122,,
zny,BitZeny,/slip44:123,,
unify,Unify,/slip44:124,,
xst,StealthCoin,/slip44:125,,
brk,Breakout Coin,/slip44:126,,
